speciesName,newCode,oldCode
Alopias spp,THR,THR
Ammodytes spp,SAN,SAN
Anguilla anguilla,ELE,EEL
Aphanopus carbo,BSF,BSF
Argentina silus,ARU,ARG
Beryx spp,ALF,ALF
Brosme brosme,USK,USK
Capros aper,BOC,BOC
Centrophorus squamosus,GUQ,GUQ
Centroscymnus coelolepis,CYO,CYO
Cetorhinus maximus,BSK,BSK
Clupea harengus,HER,HER
Coryphaenoides rupestris,RNG,RNG
Dalatias licha,SCK,SCK
Dicentrarchus labrax,BSS,BSS
Elasmobranchii,DWS,SKX
Elasmobranchii,SKX,SKX
Engraulis encrasicolus,ANE,ANE
Eutrigla gurnardus,GUG,GUG
Gadus morhua,COD,COD
Galeorhinus galeus,GAG,GAG
Galeus melastomus,SHO,SHO
Glyptocephalus cynoglossus,WIT,WIT
Hoplostethus atlanticus,ORY,ORY
Isurus oxyrinchus,SMA,SMA
Lamna nasus,POR,POR
Lepidorhombus boscii,LDB,MGB
Lepidorhombus spp,LEZ,MEG
Lepidorhombus whiffiagonis,MEG,MGW
Limanda limanda,DAB,DAB
Lophiidae,ANF,ANG
Lophius budegassa,ANK,ANB
Lophius piscatorius,MON,ANP
Macrourus berglax,RHG,RHG
Mallotus villosus,CAP,CAP
Melanogrammus aeglefinus,HAD,HAD
Merlangius merlangus,WHG,WHG
Merluccius merluccius,HKE,HKE
Micromesistius poutassou,WHB,WHB
Microstomus kitt,LEM,LEM
Molva dypterygia,BLI,BLI
Molva molva,LIN,LIN
Mullus barbatus,MUT,MUT
Mullus surmuletus,MUR,MUR
Mustelus spp,SDV,TRK
Nephrops norvegicus,NEP,NEP
Pagellus bogaraveo,SBR,SBR
Pandalus borealis,PRA,PAN
Phycis blennoides,GFB,GFB
Platichthys flesus,FLE,FLE
Pleuronectes platessa,PLE,PLE
Pollachius pollachius,POL,POL
Pollachius virens,POK,SAI
Prionace glauca,BSH,BSH
Raja brachyura,RJH,RJH
Raja clavata,RJC,RJC
Raja microocellata,RJE,RJE
Raja montagui,RJM,RJM
Raja undulata,RJU,RJU
Rajidae,RAJ,RAJ
Reinhardtius hippoglossoides,GHL,GHL
Salmo salar,SAL,SAL
Salmo trutta,TRS,TRT
Sardina pilchardus,PIL,SAR
Scomber scombrus,MAC,MAC
Scophthalmus rhombus,BLL,BLL
Scyliorhinus canicula,SYC,SYC
Sebastes mentella,REB,SMN
Solea solea,SOL,SOL
Solea spp,SOO,SOL
Sprattus sprattus,SPR,SPR
Squatina squatina,AGN,AGN
Trachurus picturatus,JAA,JAA
Trachurus trachurus,HOM,HOM
Trachyrincus scabrus,TSU,TSU
Trisopterus esmarkii,NOP,NOP
Scophthalmus maximus,TUR,TUR
Chelidonichthys cuculus,GUR,GUR
Skyliorhinus stellaris,SYT,SYT
Leucoraja naevus,RJN,RJN
Sebastes norvegicus,REG,SMR
Squalus acanthia,DGS,DGS
Dipturus batis,RJB,RJB
Leucoraja fullonica,RJF,RJF
Leucoraja circularis,RJI,RJI
Rostroraja alba,RJA,RJA
Amblyraja radiata,RJR,RJR
,NA,OTH
